datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/12/30 21:17:13,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.84,-51.76,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,12.45,0.02,-28.92029,-55.48503,
2018/03/10 17:00:00,NPP-375,Brasil,RIO GRANDE DO SUL,DOM FELICIANO,Pampa,0,0.85,0.41,-30.3686,-52.30958,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CAPAO DO LEAO,Pampa,0,0.28,0.44,-31.83645,-52.65751,
2017/12/13 05:10:00,NPP-375,Brasil,RIO GRANDE DO SUL,ELDORADO DO SUL,Pampa,0,5.05,0,-30.15842,-51.64276,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,8.1,0,-30.73001,-52.45309,
2018/02/13 18:06:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,0,0.47,-31.15057,-53.25308,
2017/12/16 01:19:21,METOP-B,Brasil,RIO GRANDE DO SUL,BUTIA,Pampa,0,8.35,0,-30.3367004394531,-52.0455017089844,
2017/12/10 04:26:00,NPP-375,Brasil,RIO GRANDE DO SUL,ALEGRETE,Pampa,0,0,0.73,-29.55538,-56.1712,
2017/12/16 16:39:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO BORJA,Pampa,0,14.33,0.02,-28.43752,-55.77692,
2017/12/12 17:53:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,0,0.78,-31.74661,-53.86082,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.85781,-51.75978,
2018/03/08 17:36:00,NPP-375,Brasil,RIO GRANDE DO SUL,PINHEIRO MACHADO,Pampa,0,0,1,-31.15922,-53.37321,
2017/12/09 17:09:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,0,4.13,0.33,-31.22778,-52.85521,
2017/12/30 21:17:13,GOES-16,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86,-51.75,
2018/02/23 16:42:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,0,0.13,-31.63217,-52.96939,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,RIO GRANDE,Pampa,,,,-32.13091,-52.28587,
2017/12/16 16:38:00,NPP-375,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,0,3.73,0.05,-31.56264,-53.17532,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,HERVAL,Pampa,,,,-31.96822,-53.28399,
2017/12/13 17:34:00,NPP-375,Brasil,RIO GRANDE DO SUL,CANDIOTA,Pampa,0,6.85,0.05,-31.75923,-53.89821,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,TRIUNFO,Pampa,0,7.2,0,-29.81491,-51.58688,
2017/12/30 17:15:00,NPP-375,Brasil,RIO GRANDE DO SUL,SAO JOSE DO NORTE,Pampa,,,,-31.86908,-51.76583,
2017/12/13 17:35:00,NPP-375,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,0,8.77,0,-30.49911,-52.76872,
